Epoch 224: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.129
Epoch 225: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.129
Epoch 226: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.127
Epoch 227: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.128
Epoch 228: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.125
Epoch 229: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.126
Epoch 230: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.129
Epoch 231: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.125
Epoch 232: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.126
Epoch 233: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.128
Epoch 234: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.127
Epoch 235: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.128
Epoch 236: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.127
Epoch 237: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.126
Epoch 238: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.124
Epoch 239: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.126
Epoch 240: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.128
Epoch 241: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.127
Epoch 242: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.127
Epoch 243: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.125
Epoch 244: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.125
Epoch 245: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.127
Epoch 246: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.128
Epoch 247: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.127
Epoch 248: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.126
Epoch 249: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.125
Epoch 250: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.126
Epoch 251: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.127
Epoch 252: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.127
Epoch 253: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.127
Epoch 254: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.127
Epoch 255: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.126
Epoch 256: duration loss = 0.289 | prior loss = 1.206 | diffusion loss = 0.126
Epoch 257: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.126
Epoch 258: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.126
Epoch 259: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.127
Epoch 260: duration loss = 0.290 | prior loss = 1.206 | diffusion loss = 0.125
